ID,Language_ID,Headword,Part_Of_Speech,MiddleChinese,OCBS,Example_IDS
1,OldChinese,鳩,,,,1
2,OldChinese,洲,,,,2 4221
3,OldChinese,逑,,,,4 5683
4,OldChinese,流,,,,6 338 3692 4715 6438
5,OldChinese,求,,,,8 118 544 1086 1096 1106 2686 4469 5291 6357
6,OldChinese,得,,,,9 1600 1601 2584 3547 3942
7,OldChinese,服,,,,10 1066 1672 2343 2357 2820 3048 3056 3066 3067 3103 4059 4967 5301 5338 5798 6983
8,OldChinese,哉,,,,11 258 264 270 1002 1111 1714 2085 4789 6550 6766 6778
9,OldChinese,側,,,,12 260 708 1064 1754 3946 4867 5814
10,OldChinese,采,,,,14 104 2072 2072
11,OldChinese,友,,,,16 514 3089 3092 3188 3235 3699 4526 5536 5899
12,OldChinese,芼,,,,18
13,OldChinese,樂,,,,20 1508 1520 1848 2137 2928 3571 4809 5944 6333
14,OldChinese,谷,,,,22 2713 3301 3784 6032 6046
15,OldChinese,萋,,,,23 2064 2064 2872 2872 2887 2887 2890 3947 4394 4394 5662 5662
16,OldChinese,飛,,,,24 366 383 389 395 2555 3365 6935
17,OldChinese,木,,,,25 2714 3782 4706
18,OldChinese,喈,,,,26 656 1441 1441 2873 2873 4215 4215 5663 5663 6276 6276
19,OldChinese,莫,,,,29 1578 1679 1796 2786 3878 4177 4257 4257 5173 5735 6130
20,OldChinese,濩,,,,30
21,OldChinese,綌,,,,31
22,OldChinese,斁,,,,32 6676 6911 6999 7145
23,OldChinese,歸,,,,34 183 385 391 397 564 568 659 1138 1144 1150 1431 1582 1583 2310 2427 2519 2557 2600 2636 2641 2785 2793 2801 2876 2892 2998 4095 4285 5610 6198 6278 6449 6937
24,OldChinese,私,,,,35 921 4289 4397
25,OldChinese,衣,,,,36 364 916 1425 1429 1572 2146 2151 2156 2308 2407 2418 2521 2599
26,OldChinese,否,,,,37 512 513 3738 4363 4621 5934
27,OldChinese,母,,,,38 813 1010 1199 1200 1257 1594 1727 2653 2896 2956 3237 3806 4125 5147 5605 6719 7118
28,OldChinese,筐,,,,40 2421
29,OldChinese,行,,,,42 450 496 653 865 980 1305 1378 1427 1689 1929 2107 2108 2160 2422 2536 2617 3076 3243 3597 3905 4045 4079 4141 4547 4547 4921 5003 5030 5089 5550 5830 6202 6592 6787
30,OldChinese,崔,,,,43 1579 1579 3995
31,OldChinese,嵬,,,,43 3995
32,OldChinese,虺,,,,44
33,OldChinese,隤,,,,44
34,OldChinese,罍,,,,45 5608
35,OldChinese,懷,,,,46 446 1137 1143 1149 1258 1266 1274 1584 2538 2684 3991
36,OldChinese,岡,,,,47 1732 5232 5564 5583 5659
37,OldChinese,黃,,,,48 1303 1555 2164 2436 4437 4737 4737 4909 4920 6893 6922
38,OldChinese,觥,,,,49 2493
39,OldChinese,傷,,,,50 2300 2884 3495 4212 4911
40,OldChinese,砠,,,,51
41,OldChinese,瘏,,,,52 2508
42,OldChinese,痡,,,,53
43,OldChinese,吁,,,,54
44,OldChinese,纍,,,,56 2934
45,OldChinese,綏,,,,58 1580 1580 2936 4485 6743
46,OldChinese,荒,,,,60 1801 1809 1817 5590 6016 6516 6588
47,OldChinese,將,,,,62 167 392 1381 1423 2090 2090 2568 2615 3219 3219 3497 4135 4210 4246 4292 4922 5087 5239 5460 5980 6244 6634 6634 6784 7066 7066 7154 7170 7176 7205
48,OldChinese,縈,,,,64
49,OldChinese,成,,,,66 171 1657 3172 3475 3736 4797 4800 5096 5269 5313 5343 5492 5942 6150 6182 6468 6572 6697 7138 7160
50,OldChinese,詵,,,,68 68
51,OldChinese,振,,,,70 70
52,OldChinese,薨,,,,72 72 1532 1532 5079
53,OldChinese,繩,,,,74 74 4777 5901 5901
54,OldChinese,揖,,,,76 76
55,OldChinese,蟄,,,,78 78
56,OldChinese,華,,,,80 320 1373 1385 1550 2319 2659 2808 2856
57,OldChinese,家,,,,82 237 2321 2707 2787 3332 3701 5074 6773
58,OldChinese,實,,,,84 1100 2323 2531 2880 4749
59,OldChinese,室,,,,86 788 1225 1437 1559 1560 1842 1973 2325 2509 2533 2544 3705 4423 5053 5396 6843
60,OldChinese,蓁,,,,88
61,OldChinese,人,,,,90 406 474 602 603 604 706 713 800 803 814 1088 1098 1108 1278 1279 1411 1473 1605 1609 1616 1618 1858 1874 1876 2054 2101 2113 2125 2387 2388 3643 3754 3756 3915 3956 3966 3967 4051 4054 4341 4563 4829 4832 5117 5133 5519 5655 5657 6078 6178 6250 6388 6462 6582 6712
62,OldChinese,罝,,,,91 95 99
63,OldChinese,丁,,,,92 2711 2711
64,OldChinese,夫,,,,93 97 101 2472 2661 3615 4930
65,OldChinese,城,,,,94 843 5773 6181
66,OldChinese,逵,,,,96
67,OldChinese,仇,,,,98 2150
68,OldChinese,林,,,,100 2129 2267 2269 4583 4839 5035 5371 5372 6027 7005
69,OldChinese,心,,,,102 382 400 468 482 490 517 1453 2633 3305 3922 4551 4833 4841 5039 5207 5932 6005 6281 6989
70,OldChinese,有,,,,106 1201 2918 2923 3186 4111 4365 4451 4452 5596 5792 6944 7120 7183
71,OldChinese,掇,,,,108
72,OldChinese,捋,,,,110
73,OldChinese,袺,,,,112
74,OldChinese,襭,,,,114
75,OldChinese,休,,,,116 1812 1818 1818 2580 3044 3649 3693 5622 5681 5689 6395 6858 7223
76,OldChinese,息,,,,116 262 1407 1961 2095 2096 2345 4055 4138 4205 4719 5691
77,OldChinese,思,,,,118 120 122 438 492 608 874 1001 1005 1116 1457 1707 1719 2166 3295 3299 5911 6777 6878 6881
78,OldChinese,廣,,,,119 127 135
79,OldChinese,泳,,,,120 128 136
80,OldChinese,永,,,,121 129 137
81,OldChinese,方,,,,122 130 138 165 420 1684 2059 2848 2852 3071 4137 4350 4699 4923 4997 5121 5205 5240 5249 5673 5832 5882 6274 6364 6605 6631 6872 7073 7181 7202
82,OldChinese,楚,,,,124 793 1140 1465 1883 1954 2117 2318 2339 2339 4566 7251
83,OldChinese,馬,,,,126 456 1288 1289 1293 2271 2558 2640 3180 3617 4651 5055 5666 5879 6188 6735 6741 6889 6897 6905 6913
84,OldChinese,蔞,,,,132
85,OldChinese,駒,,,,134 2273 2663 4702
86,OldChinese,枚,,,,140 2522 5143 7013 7013
87,OldChinese,飢,,,,142 2206 2365 2828
88,OldChinese,肄,,,,144 560
89,OldChinese,棄,,,,146 1731
90,OldChinese,尾,,,,147 2603 4639
91,OldChinese,燬,,,,148 149
92,OldChinese,邇,,,,150 2906
93,OldChinese,趾,,,,151 2413
94,OldChinese,子,,,,152 186 193 200 257 263 269 326 511 584 1238 1239 1450 1722 2214 2414 2955 2957 3060 3190 3457 3697 4122 4359 4404 4947 4948 4963 5019 5217 5348 5355 5368 5472 5486 5517 5538 5604 5609 5614 5651 5900 5922 5933 5940 5953 6320 6382 6398 6711 6782 6946 7051 7186 7246
95,OldChinese,定,,,,154 2797 3471 6367 6454 6879
96,OldChinese,姓,,,,155 1902 3477
97,OldChinese,角,,,,157 229 6847
98,OldChinese,族,,,,158 1695 3312
99,OldChinese,居,,,,161 1800 1908 1908 1969 2789 2860 3273 3330 3704 4645 6340
100,OldChinese,御,,,,163 1309 4790 5432
101,OldChinese,盈,,,,169 503 1515 1525 3168 5941 6844
102,OldChinese,沚,,,,173 532 2079 3034
103,OldChinese,事,,,,175 4123 4380 5071 5936 6164 6484
104,OldChinese,中,,,,177 570 760 767 774 785 2038 5127 6542
105,OldChinese,宮,,,,179 761 768 775 786 5158 6088
106,OldChinese,僮,,,,180
107,OldChinese,公,,,,181 252 286 2449 3064 5152 5285 6574 6649 6706 7046
108,OldChinese,祁,,,,182 182 2425 2874 2874 4395 7195 7195
109,OldChinese,還,,,,183 1536 1740
110,OldChinese,蟲,,,,184 2863 6086
111,OldChinese,螽,,,,185 2864
112,OldChinese,忡,,,,187 454 2866
113,OldChinese,止,,,,188 189 195 196 202 203 823 824 1725 2650 3096 3099 3108 3111 3233 3277 3737 3804 4282 4346 4358 4403 4414 4420 4426 4961 5018 5066 5357 5648 5821 5954 6321 6531 6764 6783 6876 7192
114,OldChinese,降,,,,190 2868 5129 5508
115,OldChinese,蕨,,,,192 4116
116,OldChinese,惙,,,,194
117,OldChinese,說,,,,197 225 460 970 972 2349 4747 6467
118,OldChinese,薇,,,,199 2783 2791 2799 4116
119,OldChinese,悲,,,,201 2309 2426 2520 2601 2638 2829 2889 2891 4217 6501
120,OldChinese,夷,,,,204 1443 2878 3468 5973 6745 7000
121,OldChinese,蘋,,,,205
122,OldChinese,濱,,,,206 4128
123,OldChinese,藻,,,,207 4634 4638 4642 6957
124,OldChinese,潦,,,,208
125,OldChinese,盛,,,,209
126,OldChinese,筥,,,,210 4647 6832
127,OldChinese,湘,,,,211
128,OldChinese,釜,,,,212
129,OldChinese,奠,,,,213
130,OldChinese,下,,,,214 266 458 476 1983 2184 2194 2456 2526 2645 4126 4663 5057 5229 5504 6224 6772 6926
131,OldChinese,尸,,,,215 4284 5755
132,OldChinese,女,,,,216 1301 1467 1469 1773 1775 1781 1783 1789 1791 3985 4203 4357 4538 5038 5058 6831 7038 7062
133,OldChinese,伐,,,,218 7242
134,OldChinese,茇,,,,219
135,OldChinese,敗,,,,221 3743 5707
136,OldChinese,憩,,,,222
137,OldChinese,拜,,,,224
138,OldChinese,露,,,,226 228 566
139,OldChinese,夜,,,,227 1577 1967 3667 5824 6677
140,OldChinese,屋,,,,230 2034 2482 3517 3582
141,OldChinese,獄,,,,232 233 3778
142,OldChinese,足,,,,234 2758 4312
143,OldChinese,牙,,,,235 3271
144,OldChinese,墉,,,,236 5253
145,OldChinese,訟,,,,238 239
146,OldChinese,從,,,,240 1590 1993 3183 3710 4677 7103 7110
147,OldChinese,皮,,,,241 818 6352
148,OldChinese,紽,,,,242
149,OldChinese,蛇,,,,244 3378 3382
150,OldChinese,革,,,,245 3104 3364 5245
151,OldChinese,緎,,,,246
152,OldChinese,食,,,,248 1236 1405 1709 1761 1926 1947 1953 2774 3972 4238 4271 4317 4854 4862 4870 5381 6008
153,OldChinese,縫,,,,249
154,OldChinese,總,,,,250 7234
155,OldChinese,陽,,,,254 1125 1125 1545 2162 2419 2437 2802 2883 3072 5238 5584 5589 5661 6722 7031
156,OldChinese,遑,,,,256 2885 7271
157,OldChinese,處,,,,268 302 410 455 575 590 1957 2341 2461 2595 2643 2804 2976 3324 3355 3619 4199 4435 4793 5500 5567 5567 5992 6416
158,OldChinese,梅,,,,271 275 279 2081 2373 4101
159,OldChinese,七,,,,272 1936 2367
160,OldChinese,士,,,,273 277 281 1416 3275 3612 4347 5169 5484 5485 5537 5649 6780 6805 6871 7119 7247
161,OldChinese,吉,,,,274 1938 4751
162,OldChinese,三,,,,276
163,OldChinese,今,,,,278 5422 6505
164,OldChinese,塈,,,,280 562 5540 5615
165,OldChinese,謂,,,,282 4815
166,OldChinese,星,,,,283 288 889 6146
167,OldChinese,東,,,,284 580 771 806 1043 1991 2517 2529 2541 2553 3144 4040 5336 7047 7099
168,OldChinese,征,,,,285 290 3169 3772
169,OldChinese,同,,,,287 582 2446 2478 2994 3142 3159 3181 4427 4574 4675 6444 7102
170,OldChinese,昴,,,,289
171,OldChinese,裯,,,,291
172,OldChinese,猶,,,,292 3132 3351 3723 4224 4825 7002
173,OldChinese,汜,,,,293
174,OldChinese,以,,,,295 296 534 578 6802
175,OldChinese,悔,,,,297 5215 5421 5956
176,OldChinese,渚,,,,298 2593 3255 5499
177,OldChinese,與,,,,300 301 576 1985 4201
178,OldChinese,沱,,,,303 2280 4905
179,OldChinese,過,,,,305 306 910
180,OldChinese,歌,,,,307 909 2218 5619 5669 6074
181,OldChinese,麇,,,,308
182,OldChinese,包,,,,309
183,OldChinese,春,,,,310
184,OldChinese,誘,,,,311
185,OldChinese,樕,,,,312
186,OldChinese,鹿,,,,313 6028
187,OldChinese,束,,,,314 727 3302 4819
188,OldChinese,玉,,,,315 1693 1694 2033 3269 3303
189,OldChinese,脫,,,,316
190,OldChinese,帨,,,,317
191,OldChinese,吠,,,,318
192,OldChinese,車,,,,322 665 1372 2810 3926 4934 5664 6315 6358
193,OldChinese,李,,,,324 1075 1237 2954 5920
194,OldChinese,緡,,,,328
195,OldChinese,孫,,,,330 4269
196,OldChinese,葭,,,,331
197,OldChinese,豝,,,,332
198,OldChinese,虞,,,,333 5885 6132 7037
199,OldChinese,蓬,,,,334 1044 4671 4671
200,OldChinese,豵,,,,335 2448
201,OldChinese,舟,,,,337 540 1016 3041
202,OldChinese,憂,,,,340 628 853 1018 1084 1094 1104 1181 1816 1854 2794 3647 4717 5687 5967 6497
203,OldChinese,酒,,,,341 1283 1284 1362 2466 2909 2913 2917 3576 4146 4326 4534 4637 4880 4884 4888 5868 6933 6967 6968
204,OldChinese,遊,,,,342 627 1017 1951 6356 6421
205,OldChinese,茹,,,,344 3069 6252 6255
