ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Poem_ID,Entry_IDS,Stanza_Number,Line_Number,Phrase_Number,Rhyme_Words,Rhyme_Word_Indices,Rhyme_IDS
1,OldChinese,關關雎a鳩,關\t關\t雎\t鳩,,,,,1,,1,1,1,鳩,4,1-1-a
2,OldChinese,在河之a洲。,在\t河\t之\t洲,,,,,1,,1,1,2,洲,4,1-1-a
3,OldChinese,窈宨淑x女,窈\t宨\t淑\t女,,,,,1,,1,2,1,,,
4,OldChinese,君子好a逑。,君\t子\t好\t逑,,,,,1,,1,2,2,逑,4,1-1-a
5,OldChinese,參差荇菜,參\t差\t荇\t菜,,,,,1,,2,1,1,,,
6,OldChinese,左右a流之。,左\t右\t流\t之,,,,,1,,2,1,2,流,3,1-2-a
7,OldChinese,窈宨淑女,窈\t宨\t淑\t女,,,,,1,,2,2,1,,,
8,OldChinese,寤寐a求之。,寤\t寐\t求\t之,,,,,1,,2,2,2,求,3,1-2-a
9,OldChinese,求之不a得,求\t之\t不\t得,,,,,1,,3,1,1,得,4,1-3-a
10,OldChinese,寤寐思a服。,寤\t寐\t思\t服,,,,,1,,3,1,2,服,4,1-3-a
11,OldChinese,悠哉悠x?a哉,悠\t哉\t悠\t哉,,,,,1,,3,2,1,哉,4,1-3-a
12,OldChinese,輾轉反a側。,輾\t轉\t反\t側,,,,,1,,3,2,2,側,4,1-3-a
13,OldChinese,參差荇菜,參\t差\t荇\t菜,,,,,1,,4,1,1,,,
14,OldChinese,左右a采之。,左\t右\t采\t之,,,,,1,,4,1,2,采,3,1-4-a
15,OldChinese,窈宨淑女,窈\t宨\t淑\t女,,,,,1,,4,2,1,,,
16,OldChinese,琴瑟a友之。,琴\t瑟\t友\t之,,,,,1,,4,2,2,友,3,1-4-a
17,OldChinese,參差荇菜,參\t差\t荇\t菜,,,,,1,,5,1,1,,,
18,OldChinese,左右a芼之。,左\t右\t芼\t之,,,,,1,,5,1,2,芼,3,1-5-a
19,OldChinese,窈宨淑女,窈\t宨\t淑\t女,,,,,1,,5,2,1,,,
20,OldChinese, 鍾鼓a樂之。,鍾\t鼓\t樂\t之,,,,,1,,5,2,2,樂,3,1-5-a
21,OldChinese,葛之覃兮,葛\t之\t覃\t兮,,,,,2,,1,1,1,,,
22,OldChinese,施于中a谷。,施\t于\t中\t谷,,,,,2,,1,1,2,谷,4,2-1-a
23,OldChinese,維葉萋b萋,維\t葉\t萋\t萋,,,,,2,,1,2,1,萋,4,2-1-b
24,OldChinese,黃鳥于b飛。,黃\t鳥\t于\t飛,,,,,2,,1,2,2,飛,4,2-1-b
25,OldChinese,集于灌a木,集\t于\t灌\t木,,,,,2,,1,3,1,木,4,2-1-a
26,OldChinese,其鳴喈b喈。,其\t鳴\t喈\t喈,,,,,2,,1,3,2,喈,4,2-1-b
27,OldChinese,葛之覃兮,葛\t之\t覃\t兮,,,,,2,,2,1,1,,,
28,OldChinese,施于中谷。,施\t于\t中\t谷,,,,,2,,2,1,2,,,
29,OldChinese,維葉莫a莫,維\t葉\t莫\t莫,,,,,2,,2,2,1,莫,4,2-2-a
30,OldChinese,是刈是a濩。,是\t刈\t是\t濩,,,,,2,,2,2,2,濩,4,2-2-a
31,OldChinese,為絺為a綌,為\t絺\t為\t綌,,,,,2,,2,3,1,綌,4,2-2-a
32,OldChinese,服之無a斁。,服\t之\t無\t斁,,,,,2,,2,3,2,斁,4,2-2-a
33,OldChinese,言告師氏,言\t告\t師\t氏,,,,,2,,3,1,1,,,
34,OldChinese,言告言a歸。,言\t告\t言\t歸,,,,,2,,3,1,2,歸,4,2-3-a
35,OldChinese,薄污我a私,薄\t污\t我\t私,,,,,2,,3,2,1,私,4,2-3-a
36,OldChinese,薄澣我a衣。,薄\t澣\t我\t衣,,,,,2,,3,2,2,衣,4,2-3-a
37,OldChinese,害澣害b否,害\t澣\t害\t否,,,,,2,,3,3,1,否,4,2-3-b
38,OldChinese,歸寧父b母 。,歸\t寧\t父\t母,,,,,2,,3,3,2,母,4,2-3-b
39,OldChinese,采采卷耳,采\t采\t卷\t耳,,,,,3,,1,1,1,,,
40,OldChinese,不盈頃a筐。,不\t盈\t頃\t筐,,,,,3,,1,1,2,筐,4,3-1-a
41,OldChinese,嗟我懷人,嗟\t我\t懷\t人,,,,,3,,1,2,1,,,
42,OldChinese,寘彼周a行。,寘\t彼\t周\t行,,,,,3,,1,2,2,行,4,3-1-a
43,OldChinese,陟彼a崔a嵬,陟\t彼\t崔\t嵬,,,,,3,,2,1,1,崔 嵬,3 4,3-2-a 3-2-a
44,OldChinese,我馬a虺a隤。,我\t馬\t虺\t隤,,,,,3,,2,1,2,虺 隤,3 4,3-2-a 3-2-a
45,OldChinese,我姑酌彼金a罍,我\t姑\t酌\t彼\t金\t罍,,,,,3,,2,2,1,罍,6,3-2-a
46,OldChinese,維以不永a懷。,維\t以\t不\t永\t懷,,,,,3,,2,2,2,懷,5,3-2-a
47,OldChinese,陟彼高a岡,陟\t彼\t高\t岡,,,,,3,,3,1,1,岡,4,3-3-a
48,OldChinese,我馬玄a黃。,我\t馬\t玄\t黃,,,,,3,,3,1,2,黃,4,3-3-a
49,OldChinese,我姑酌彼兕a觥,我\t姑\t酌\t彼\t兕\t觥,,,,,3,,3,2,1,觥,6,3-3-a
50,OldChinese,維以不永a傷。,維\t以\t不\t永\t傷,,,,,3,,3,2,2,傷,5,3-3-a
51,OldChinese,陟彼a砠矣,陟\t彼\t砠\t矣,,,,,3,,4,1,1,砠,3,3-4-a
52,OldChinese,我馬a瘏矣,我\t馬\t瘏\t矣,,,,,3,,4,1,2,瘏,3,3-4-a
53,OldChinese,我僕a痡矣,我\t僕\t痡\t矣,,,,,3,,4,1,3,痡,3,3-4-a
54,OldChinese,云何a吁矣。,云\t何\t吁\t矣,,,,,3,,4,1,4,吁,3,3-4-a
55,OldChinese,南有樛木,南\t有\t樛\t木,,,,,4,,1,1,1,,,
56,OldChinese,葛藟a纍之。,葛\t藟\t纍\t之,,,,,4,,1,1,2,纍,3,4-1-a
57,OldChinese,樂只君子,樂\t只\t君\t子,,,,,4,,1,2,1,,,
58,OldChinese,福履a綏之。,福\t履\t綏\t之,,,,,4,,1,2,2,綏,3,4-1-a
59,OldChinese,南有樛木,南\t有\t樛\t木,,,,,4,,2,1,1,,,
60,OldChinese,葛藟a荒之。,葛\t藟\t荒\t之,,,,,4,,2,1,2,荒,3,4-2-a
61,OldChinese,樂只君子,樂\t只\t君\t子,,,,,4,,2,2,1,,,
62,OldChinese,福履a將之。,福\t履\t將\t之,,,,,4,,2,2,2,將,3,4-2-a
63,OldChinese,南有樛木,南\t有\t樛\t木,,,,,4,,3,1,1,,,
64,OldChinese,葛藟a縈之。,葛\t藟\t縈\t之,,,,,4,,3,1,2,縈,3,4-3-a
65,OldChinese,樂只君子,樂\t只\t君\t子,,,,,4,,3,2,1,,,
66,OldChinese,福履a成之。,福\t履\t成\t之,,,,,4,,3,2,2,成,3,4-3-a
67,OldChinese,螽斯羽,螽\t斯\t羽,,,,,5,,1,1,1,,,
68,OldChinese,a詵a詵兮。,詵\t詵\t兮,,,,,5,,1,1,2,詵 詵,1 2,5-1-a 5-1-a
69,OldChinese,宜爾子孫,宜\t爾\t子\t孫,,,,,5,,1,2,1,,,
70,OldChinese,a振a振兮。,振\t振\t兮,,,,,5,,1,2,2,振 振,1 2,5-1-a 5-1-a
71,OldChinese,螽斯羽,螽\t斯\t羽,,,,,5,,2,1,1,,,
